open,high,low,close,totalvolume,timestamp
178.01,178.09,178.0,178.08,158274,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,162526,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,166733,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,171130,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,172130,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,182999,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,183699,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,184399,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,185249,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,187224,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,188774,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,193154,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,200175,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,201275,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,201512,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,203732,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,204582,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,207577,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,207881,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,209730,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,211040,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,211540,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,214922,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,216372,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,217772,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,218072,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,221176,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,234606,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,235526,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,238626,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,246000,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,250577,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,251674,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,253073,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.04,259305,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,260820,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,262676,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.07,263169,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,264246,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,264996,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.06,267416,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.05,270181,2025-08-22T19:28:00Z
178.01,178.09,178.0,178.04,270581,2025-08-22T19:28:00Z
178.05,178.05,178.05,178.05,100,2025-08-22T19:29:00Z
178.05,178.05,178.02,178.02,5678,2025-08-22T19:29:00Z
178.05,178.05,178.0,178.0,13533,2025-08-22T19:29:00Z
